,Age,Gender,Degree of Edu,Income,Health Condition,Outdoor Activity Engaged,Outdoor Activity Eliminated(Days),Air Index (Activity Reduced),Air Index(Activity Eliminated)
691,38,Male,College,"Upto to $49,999",Good,Daily,6,Orange – Unhealthy for Sensitive Groups,Orange – Unhealthy for Sensitive Groups
692,30,Male,College,"Upto to $74,999",Good,A few times per week,2,Yellow – Moderate,Red – Unhealthy
693,30,Female,8th grade or less,"Upto to $74,999",Excellent,Daily,2,Red – Unhealthy,Purple – Very Unhealthy
694,58,Female,College,"$100,000 or more",Excellent,Daily,4,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy
695,34,Male,College,"$100,000 or more",Excellent,A few times per week,3,Red – Unhealthy,Purple – Very Unhealthy
696,32,Female,College,"Upto to $49,999",Good,A few times per week,6,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy
697,51,Male,College,"$100,000 or more",Excellent,A few times per week,5,Orange – Unhealthy for Sensitive Groups,Orange – Unhealthy for Sensitive Groups
698,28,Female,High school,"Upto to $49,999",Good,A few times per week,2,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy
699,25,Female,High school,"$25,000 or less",Fair,A few times per week,6,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy
700,27,Others,8th grade or less,"Upto to $49,999",Fair,010100,5,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy
701,21,Male,High school,"$25,000 or less",Excellent,Common,6,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy
702,25,Male,College,"$25,000 or less",Good,A few times per week,6,Yellow – Moderate,Orange – Unhealthy for Sensitive Groups
703,23,Female,8th grade or less,"$100,000 or more",Good,Common,2,Red – Unhealthy,Purple – Very Unhealthy
704,53,Male,College,"$100,000 or more",Excellent,No Response,3,Maroon – Hazardous,Maroon – Hazardous
705,41,Female,High school graduate,"Upto to $74,999",Good,No Response,6,Orange – Unhealthy for Sensitive Groups,Orange – Unhealthy for Sensitive Groups
706,60,Male,Associates degree,"$100,000 or more",Excellent,Daily,6,Orange – Unhealthy for Sensitive Groups,Orange – Unhealthy for Sensitive Groups
707,51,Female,Associates degree,"$100,000 or more",Excellent,Daily,2,Purple – Very Unhealthy,Red – Unhealthy
708,60,Female,Associates degree,"$100,000 or more",Good,A few times per week,4,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy
709,47,Female,College,"Upto to $99,999",Good,A few times per week,2,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy
710,20,Female,High school,"Upto to $74,999",Good,Once per week,1,Yellow – Moderate,Yellow – Moderate
711,64,Female,Associates degree,"Upto to $99,999",Good,Daily,3,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy
712,23,Male,High school graduate,"Upto to $49,999",Good,A few times per week,2,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy
713,20,Male,High school,"$25,000 or less",Good,Daily,3,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy
714,21,Male,8th grade or less,"Upto to $49,999",Good,A few times per week,1,Purple – Very Unhealthy,Maroon – Hazardous
715,49,Female,College,No Response,Good,No Response,6,Yellow – Moderate,Orange – Unhealthy for Sensitive Groups
716,38,Female,Associates degree,"$100,000 or more",Good,Daily,2,Red – Unhealthy,Purple – Very Unhealthy
717,24,Male,High school graduate,"Upto to $99,999",Good,Once per week,1,Red – Unhealthy,Purple – Very Unhealthy
718,75,Female,Associates degree,"Upto to $49,999",Excellent,Daily,3,Yellow – Moderate,Orange – Unhealthy for Sensitive Groups
719,20,Male,8th grade or less,"Upto to $74,999",Good,Once per week,6,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy
720,54,Male,College,"Upto to $99,999",Excellent,A few times per week,6,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy
721,65,Male,Associates degree,"Upto to $74,999",Good,Common,6,Yellow – Moderate,Orange – Unhealthy for Sensitive Groups
722,34,Female,College,"$100,000 or more",Good,Daily,1,Purple – Very Unhealthy,Purple – Very Unhealthy
723,57,Male,College,"Upto to $74,999",Good,Daily,1,Not familiar,Not familiar
724,51,Female,College,"$100,000 or more",Good,A few times per week,2,Red – Unhealthy,Purple – Very Unhealthy
725,38,Male,College,"Upto to $49,999",Good,A few times per week,No Response,Red – Unhealthy,Purple – Very Unhealthy
726,43,Male,College,"Upto to $99,999",Excellent,A few times per week,6,Red – Unhealthy,Purple – Very Unhealthy
727,31,Male,High school,"$25,000 or less",Fair,No Response,1,Maroon – Hazardous,Maroon – Hazardous
728,62,Male,College,"Upto to $74,999",Good,No Response,6,Orange – Unhealthy for Sensitive Groups,Orange – Unhealthy for Sensitive Groups
729,56,Female,Associates degree,"Upto to $99,999",Excellent,A few times per week,1,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy
730,39,Female,College,"Upto to $99,999",Good,Once per week,3,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy
731,22,Male,High school,No Response,Excellent,A few times per week,6,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy
732,73,Male,High school,"Upto to $74,999",Excellent,Daily,2,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy
733,30,Male,High school,"Upto to $99,999",Good,Daily,6,Yellow – Moderate,Orange – Unhealthy for Sensitive Groups
734,27,Male,8th grade or less,"$25,000 or less",Excellent,Daily,6,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy
735,19,Male,High school,"$100,000 or more",Good,Daily,2,Red – Unhealthy,Purple – Very Unhealthy
736,20,Female,High school,"$25,000 or less",Excellent,Daily,6,Red – Unhealthy,Maroon – Hazardous
737,36,Male,High school,"Upto to $99,999",Good,No Response,3,Yellow – Moderate,Yellow – Moderate
738,19,Male,8th grade or less,"Upto to $99,999",Good,No Response,4,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy
739,41,Male,Associates degree,"$100,000 or more",Excellent,A few times per week,4,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy
740,28,Female,High school,"$25,000 or less",Good,Daily,1,Red – Unhealthy,Purple – Very Unhealthy
741,23,Female,High school,"$25,000 or less",Good,No Response,1,Red – Unhealthy,Maroon – Hazardous
742,54,Male,Associates degree,"$100,000 or more",Good,A few times per week,5,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy
743,23,Female,High school graduate,"Upto to $99,999",Good,A few times per week,5,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy
744,27,Female,College,"Upto to $74,999",Excellent,Daily,6,Purple – Very Unhealthy,Maroon – Hazardous
745,49,Male,College,"$25,000 or less",Excellent,Daily,2,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy
746,18,Female,8th grade or less,"Upto to $49,999",Good,Once per week,1,Not familiar,Not familiar
747,42,Female,High school graduate,"Upto to $49,999",Excellent,Common,6,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy
748,46,Female,Associates degree,"Upto to $99,999",Good,Daily,6,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy
749,19,Male,8th grade or less,"Upto to $49,999",Good,A few times per week,2,Orange – Unhealthy for Sensitive Groups,Orange – Unhealthy for Sensitive Groups
750,18,Female,8th grade or less,"$100,000 or more",Good,A few times per week,1,Red – Unhealthy,Purple – Very Unhealthy
751,33,Male,High school,"Upto to $74,999",Good,No Response,5,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy
752,63,Male,College,"$100,000 or more",Good,A few times per week,2,Orange – Unhealthy for Sensitive Groups,Orange – Unhealthy for Sensitive Groups
753,53,Male,College,"$100,000 or more",Good,A few times per week,3,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy
754,34,Male,High school,"Upto to $49,999",Good,No Response,6,Red – Unhealthy,Purple – Very Unhealthy
755,33,Male,College,"$100,000 or more",Excellent,Daily,3,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy
756,44,Male,College,"$100,000 or more",Good,A few times per week,4,Red – Unhealthy,Purple – Very Unhealthy
757,26,Male,College,"Upto to $49,999",Excellent,Daily,2,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy
758,53,Male,Associates degree,"$100,000 or more",Excellent,Daily,2,Red – Unhealthy,Purple – Very Unhealthy
759,64,Male,High school,"Upto to $74,999",Good,A few times per week,5,Yellow – Moderate,Orange – Unhealthy for Sensitive Groups
760,38,Male,College,"Upto to $99,999",Excellent,Daily,2,Red – Unhealthy,Purple – Very Unhealthy
761,27,Male,College,"Upto to $49,999",Excellent,A few times per week,2,Red – Unhealthy,Red – Unhealthy
762,19,Female,8th grade or less,"$100,000 or more",Good,Once per week,2,Red – Unhealthy,Purple – Very Unhealthy
763,71,Female,Associates degree,"Upto to $74,999",Fair,A few times per week,6,Yellow – Moderate,Orange – Unhealthy for Sensitive Groups
764,70,Male,High school graduate,No Response,Good,No Response,4,Yellow – Moderate,Orange – Unhealthy for Sensitive Groups
765,63,Male,College,"Upto to $99,999",Excellent,Daily,2,Purple – Very Unhealthy,Maroon – Hazardous
766,34,Male,College,"Upto to $49,999",Good,No Response,3,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy
767,36,Male,College,"$100,000 or more",Excellent,Once per week,2,Orange – Unhealthy for Sensitive Groups,Orange – Unhealthy for Sensitive Groups
768,45,Female,Associates degree,"Upto to $49,999",Good,A few times per week,1,Purple – Very Unhealthy,Maroon – Hazardous
769,23,Female,High school graduate,"Upto to $49,999",Good,A few times per week,2,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy
770,19,Male,8th grade or less,"Upto to $49,999",Good,Daily,2,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy
771,40,Male,College,"Upto to $74,999",Excellent,Daily,3,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy
772,27,Male,College,"$100,000 or more",Good,No Response,2,Not familiar,Not familiar
773,18,Male,High school,"Upto to $74,999",Good,Daily,5,Red – Unhealthy,Maroon – Hazardous
774,27,Male,College,"Upto to $49,999",Excellent,A few times per week,6,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy
775,18,Male,8th grade or less,"Upto to $49,999",Good,Daily,5,Red – Unhealthy,Maroon – Hazardous
776,54,Female,Associates degree,"Upto to $99,999",Good,A few times per week,1,Purple – Very Unhealthy,Maroon – Hazardous
777,25,Female,High school,"Upto to $49,999",Good,Daily,1,Purple – Very Unhealthy,Maroon – Hazardous
778,19,Female,8th grade or less,"Upto to $49,999",Excellent,A few times per week,1,Maroon – Hazardous,Maroon – Hazardous
779,51,Male,Associates degree,"Upto to $74,999",Excellent,Daily,2,Yellow – Moderate,Orange – Unhealthy for Sensitive Groups
780,26,Male,Associates degree,"$100,000 or more",Good,Once per week,2,Red – Unhealthy,Purple – Very Unhealthy
781,33,Male,High school graduate,"$100,000 or more",Good,Daily,3,Not familiar,Not familiar
782,30,Male,College,"Upto to $74,999",Good,Daily,1,Purple – Very Unhealthy,Maroon – Hazardous
783,20,Male,High school,"Upto to $49,999",Good,No Response,2,Purple – Very Unhealthy,Maroon – Hazardous
784,22,Male,High school,"Upto to $49,999",Good,Daily,2,Purple – Very Unhealthy,Purple – Very Unhealthy
785,60,Male,College,"Upto to $99,999",Good,Daily,1,Not familiar,Not familiar
786,60,Male,College,"$100,000 or more",Excellent,No Response,5,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy
787,43,Male,Associates degree,"$100,000 or more",Excellent,Daily,2,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy
788,33,Male,Associates degree,"Upto to $99,999",Fair,A few times per week,4,Yellow – Moderate,Orange – Unhealthy for Sensitive Groups
789,57,Male,College,"Upto to $99,999",Good,No Response,5,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy
790,50,Female,Associates degree,"Upto to $74,999",Good,A few times per week,4,Orange – Unhealthy for Sensitive Groups,Orange – Unhealthy for Sensitive Groups
791,21,Male,High school,"$100,000 or more",Excellent,Daily,2,Purple – Very Unhealthy,Maroon – Hazardous
792,24,Male,High school,"Upto to $74,999",Good,Once per week,6,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy
793,33,Male,College,"Upto to $74,999",Excellent,Daily,1,Orange – Unhealthy for Sensitive Groups,Purple – Very Unhealthy
794,18,Male,8th grade or less,"Upto to $74,999",Excellent,A few times per week,2,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy
795,53,Male,Associates degree,"Upto to $49,999",Excellent,Daily,3,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy
796,37,Female,Associates degree,"Upto to $74,999",Good,No Response,2,Not familiar,Not familiar
797,54,Male,College,"$100,000 or more",Good,No Response,6,Yellow – Moderate,Orange – Unhealthy for Sensitive Groups
798,45,Female,Associates degree,"Upto to $74,999",Excellent,No Response,1,Not familiar,Not familiar
799,37,Male,Associates degree,"Upto to $99,999",Excellent,A few times per week,2,Purple – Very Unhealthy,Maroon – Hazardous
800,33,Male,College,No Response,Excellent,A few times per week,1,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy
801,18,Female,8th grade or less,"$100,000 or more",Excellent,A few times per week,1,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy
802,43,Male,College,"$100,000 or more",Excellent,A few times per week,2,Red – Unhealthy,Purple – Very Unhealthy
803,20,Male,High school,"Upto to $49,999",Good,No Response,4,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy
804,28,Female,Associates degree,"Upto to $74,999",Excellent,Daily,2,Purple – Very Unhealthy,Maroon – Hazardous
805,21,Male,High school,"Upto to $49,999",Good,A few times per week,6,Yellow – Moderate,Orange – Unhealthy for Sensitive Groups
806,18,Male,8th grade or less,"Upto to $99,999",Good,A few times per week,1,Purple – Very Unhealthy,Maroon – Hazardous
807,19,Male,8th grade or less,"Upto to $74,999",Excellent,Common,1,Orange – Unhealthy for Sensitive Groups,Purple – Very Unhealthy
808,28,Male,College,"$100,000 or more",Excellent,Daily,3,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy
809,18,Female,8th grade or less,"$100,000 or more",Fair,A few times per week,1,Not familiar,Not familiar
810,48,Female,Associates degree,"$100,000 or more",Good,Once per week,6,Orange – Unhealthy for Sensitive Groups,Orange – Unhealthy for Sensitive Groups
811,20,Male,High school,"$25,000 or less",Excellent,Once per week,1,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy
812,18,Male,8th grade or less,No Response,Good,A few times per week,1,Red – Unhealthy,Purple – Very Unhealthy
813,36,Female,College,"$100,000 or more",Excellent,A few times per week,5,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy
814,62,Male,High school,"Upto to $74,999",Fair,A few times per week,5,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy
815,29,Male,College,No Response,Excellent,A few times per week,4,Red – Unhealthy,Red – Unhealthy
816,28,Female,8th grade or less,"Upto to $49,999",Good,A few times per week,1,Purple – Very Unhealthy,Purple – Very Unhealthy
817,24,Male,College,"Upto to $49,999",Excellent,Daily,2,Red – Unhealthy,Purple – Very Unhealthy
818,19,Male,8th grade or less,"Upto to $49,999",Good,Daily,2,Yellow – Moderate,Yellow – Moderate
819,21,Male,High school,"Upto to $49,999",Good,Once per week,2,Purple – Very Unhealthy,Purple – Very Unhealthy
820,22,Male,High school,"$25,000 or less",Excellent,A few times per week,2,Orange – Unhealthy for Sensitive Groups,Purple – Very Unhealthy
821,18,Male,8th grade or less,"Upto to $74,999",Good,No Response,3,Red – Unhealthy,Purple – Very Unhealthy
